date,fighter a,fighter b,result
"July 18, 2026",Dricus Du Plessis,Kamaru Usman,win
"July 18, 2026",Christian Leroy Duncan,Jared Cannonier,win
"July 18, 2026",Chase Hooper,Mitch Ramirez,win
"July 18, 2026",Fatima Kline,Tabatha Ricci,win
"July 18, 2026",Tommy McMillen,Alberto Montes,win
"July 18, 2026",Jose Delgado,Austin Bashi,win
"July 18, 2026",Jean-Paul Lebosnoyani,Seokhyeon Ko,win
"July 18, 2026",Felipe Franco,Levi Rodrigues Jr.,win
"July 18, 2026",Ezra Elliott,Damien Anderson,win
"July 18, 2026",Alden Coria,Stewart Nicoll,win
"July 18, 2026",RJ Harris,Alvin Hines,win
"July 18, 2026",Dione Barbosa,Anna Melisano,win
"July 11, 2026",Max Holloway,Conor McGregor,win
"July 11, 2026",Paddy Pimblett,Benoit Saint Denis,win
"July 11, 2026",Mario Bautista,Cory Sandhagen,win
"July 11, 2026",Brandon Royval,Lone'er Kavanagh,win
"July 11, 2026",King Green,Terrance McKinney,win
"July 11, 2026",Robert Whittaker,Nikita Krylov,win
"July 11, 2026",Gable Steveson,Elisha Ellison,win
"July 11, 2026",Adrian Yanez,Cody Garbrandt,win
"July 11, 2026",Luke Riley,Kai Kamaka III,win
"July 11, 2026",Wang Cong,Tracy Cortez,win
"July 11, 2026",Damian Pinas,Cesar Almeida,win
"July 11, 2026",Farid Basharat,John Garza,win
"July 11, 2026",Ryan Gandra,Zach Reese,win
"July 11, 2026",Alessandro Costa,Cody Durden,win
"June 27, 2026",Rafael Fiziev,Manuel Torres,win
"June 27, 2026",Shara Magomedov,Michel Pereira,win
"June 27, 2026",Matheus Camilo,Nazim Sadykhov,win
"June 27, 2026",Asu Almabayev,Charles Johnson,win
"June 27, 2026",Ikram Aliskerov,Brunno Ferreira,win
"June 27, 2026",Abus Magomedov,Michal Oleksiejczuk,win
"June 27, 2026",Farman Hasanov,Eric Nolan,win
"June 27, 2026",Abdul Rakhman Yakhyaev,Julius Walker,win
"June 27, 2026",Nursulton Ruziboev,Andrey Pulyaev,win
"June 27, 2026",Kaan Ofli,Javier Reyes,win
"June 27, 2026",Daniil Donchenko,Theodor Berggren,win
"June 27, 2026",Jean Matsumoto,Bekzat Almakhan,win
"June 27, 2026",Tahir Abdullayev,Jefferson Nascimento,win
"June 20, 2026",Manel Kape,Kyoji Horiguchi,win
"June 20, 2026",Navajo Stirling,Ion Cutelaba,win
"June 20, 2026",Christian Rodriguez,Hyder Amil,win
"June 20, 2026",Murtazali Magomedov,Melsik Baghdasaryan,win
"June 20, 2026",Vinicius Oliveira,Andre Fili,win
"June 20, 2026",Kevin Borjas,Andre Lima,win
"June 20, 2026",Bia Mesquita,Melissa Mullins,win
"June 20, 2026",Mitch Raposo,Allan Nascimento,win
"June 20, 2026",Gaston Bolanos,Michael Aswell Jr.,win
